Export of Imageset roboRotation_apriltag_02 (ball annotations in bounding boxes)
[team|Robocup Projekt]
[set|roboRotation_apriltag_02]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]


label::robot|9569.jpg|640|480|331|13|510|301|420.5|157.0|179|288
label::robot|9568.jpg|640|480|331|13|510|301|420.5|157.0|179|288
label::robot|9567.jpg|640|480|330|17|514|301|422.0|159.0|184|284
label::robot|9566.jpg|640|480|330|17|514|301|422.0|159.0|184|284
label::robot|9565.jpg|640|480|328|17|522|305|425.0|161.0|194|288
label::robot|9564.jpg|640|480|328|17|522|305|425.0|161.0|194|288
label::robot|9563.jpg|640|480|322|5|526|322|424.0|163.5|204|317
label::robot|9562.jpg|640|480|322|5|526|322|424.0|163.5|204|317
label::robot|9561.jpg|640|480|321|3|531|325|426.0|164.0|210|322
label::robot|9560.jpg|640|480|321|3|531|325|426.0|164.0|210|322
label::robot|9559.jpg|640|480|320|7|532|321|426.0|164.0|212|314
label::robot|9558.jpg|640|480|320|7|532|321|426.0|164.0|212|314
label::robot|9557.jpg|640|480|326|3|532|324|429.0|163.5|206|321
label::robot|9556.jpg|640|480|326|3|532|324|429.0|163.5|206|321
label::robot|9555.jpg|640|480|328|0|535|325|431.5|162.5|207|325
label::robot|9554.jpg|640|480|328|0|535|325|431.5|162.5|207|325
label::robot|9553.jpg|640|480|342|14|529|308|435.5|161.0|187|294
label::robot|9552.jpg|640|480|342|14|529|308|435.5|161.0|187|294
label::robot|9551.jpg|640|480|339|8|554|317|446.5|162.5|215|309
label::robot|9550.jpg|640|480|339|8|554|317|446.5|162.5|215|309
label::robot|9549.jpg|640|480|341|6|554|321|447.5|163.5|213|315
label::robot|9548.jpg|640|480|341|6|554|321|447.5|163.5|213|315
label::robot|9547.jpg|640|480|349|1|550|324|449.5|162.5|201|323
label::robot|9546.jpg|640|480|349|1|550|324|449.5|162.5|201|323
label::robot|9545.jpg|640|480|352|6|551|318|451.5|162.0|199|312
label::robot|9544.jpg|640|480|352|6|551|318|451.5|162.0|199|312
label::robot|9543.jpg|640|480|353|6|554|319|453.5|162.5|201|313
label::robot|9542.jpg|640|480|353|6|554|319|453.5|162.5|201|313
label::robot|9541.jpg|640|480|351|6|557|320|454.0|163.0|206|314
label::robot|9540.jpg|640|480|351|6|557|320|454.0|163.0|206|314
label::robot|9539.jpg|640|480|351|8|557|320|454.0|164.0|206|312
label::robot|9538.jpg|640|480|351|8|557|320|454.0|164.0|206|312
label::robot|9537.jpg|640|480|349|4|552|323|450.5|163.5|203|319
label::robot|9522.jpg|640|480|360|10|543|326|451.5|168.0|183|316
label::robot|9521.jpg|640|480|369|12|543|321|456.0|166.5|174|309
label::robot|9520.jpg|640|480|369|12|543|321|456.0|166.5|174|309
label::robot|9519.jpg|640|480|372|12|547|318|459.5|165.0|175|306
label::robot|9518.jpg|640|480|372|12|547|318|459.5|165.0|175|306
label::robot|9517.jpg|640|480|376|12|552|313|464.0|162.5|176|301
label::robot|9516.jpg|640|480|376|12|552|313|464.0|162.5|176|301
label::robot|9515.jpg|640|480|379|17|557|310|468.0|163.5|178|293
